4.025	145.7	-117.6
4.033	151.6	-116.8
4.042	157.8	-116.3
4.05	163.5	-115.5
4.058	169.4	-114.7
4.067	175.3	-114.1
4.075	180.7	-113.4
4.083	186.1	-112.9
4.092	191.5	-112
4.1	196.6	-111.5
4.108	201.5	-110.9
4.117	206.6	-110.1
4.125	211.3	-109.7
4.133	215.6	-108.9
4.142	220.3	-108.3
4.15	224.5	-107.6
4.158	228.6	-106.8
4.167	232.6	-106.3
4.175	236.3	-105.7
4.183	240	-105.4
4.192	243.5	-104.6
4.2	246.5	-103.9
4.208	249.8	-103.1
4.217	252.6	-102.7
4.225	255.4	-102.4
4.233	257.8	-101.6
4.242	260.2	-101.5
4.25	262.3	-100.8
4.258	264.3	-100.6
4.267	266.3	-100.4
4.275	267.5	-99.84
4.283	269.2	-99.82
4.292	270.4	-99.47
4.3	271.4	-99.37
4.308	272.3	-99.32
4.317	272.5	-98.81
4.325	273.2	-98.8
4.333	273.6	-98.47
4.342	273.6	-98.49
4.35	273.5	-98.48
4.358	273.1	-98.8
4.367	272.6	-98.47
4.375	271.9	-98.34
4.383	271	-98.43
4.392	269.7	-98.69
4.4	268.2	-98.94
4.408	266.6	-98.89
4.417	265.2	-99.42
4.425	263.2	-99.71
4.433	261.2	-99.92
4.442	258.7	-99.77
4.45	256.5	-100.4
4.458	253.9	-100.5
4.467	251.2	-101.4
4.475	248.1	-101.9
4.483	245.3	-102.4
4.492	241.9	-102.5
4.5	238.5	-103.2
4.508	234.6	-103.6
4.517	230.8	-104.1
4.525	226.5	-104.7
4.533	222.5	-105.1
4.542	218.1	-105.8
4.55	213.8	-106.1
4.558	208.8	-106.6
4.567	204.3	-107.2
4.575	199.3	-107.9
4.583	194.3	-108.4
4.592	189	-108.6
4.6	183.6	-109.5
4.608	178	-109.9
4.617	172.6	-110.5
4.625	166.7	-110.9
4.633	161	-111.6
4.642	155.2	-112.3
4.65	148.9	-112.7
4.658	143	-113.1
4.667	136.5	-113.7
4.675	130.1	-114.6
4.683	123.6	-114.9
4.692	117.1	-115.6
4.7	110.6	-115.7
4.708	104.2	-116.1
4.717	97.21	-116.7
4.725	90.43	-117.1
4.733	83.35	-117.6
4.742	76.3	-117.8
4.75	69.61	-118
4.758	62.56	-118.4
4.767	55.47	-118.5
4.775	48.2	-118.8
4.783	40.7	-118.7
4.792	33.36	-118.9
4.8	26.27	-118.9
4.808	19.1	-118.8
4.817	11.94	-118.6
4.825	4.504	-118.7
4.833	-2.563	-118.7
4.842	-10.22	-118.6
4.85	-17.49	-118.3
4.858	-24.38	-118.1
4.867	-31.68	-118.1
4.875	-38.87	-118.1
4.883	-46.07	-118.1
4.892	-53.53	-117.8
4.9	-60.4	-117.5
4.908	-67.6	-116.8
4.917	-74.24	-116.4
4.925	-81.27	-116.2
4.933	-88.51	-115.8
4.942	-95.24	-115.5
4.95	-102	-114.9
4.958	-108.3	-114.2
4.967	-114.8	-113.8
4.975	-121.2	-113.4
4.983	-127.8	-112.8
4.992	-133.9	-112.2
5	-139.9	-111.7
5.008	-145.9	-110.8
5.017	-151.7	-110.1
5.025	-157.5	-109.7
5.033	-163.5	-108.9
5.042	-168.8	-108.6
5.05	-174.6	-107.7
5.058	-179.8	-106.9
5.067	-184.7	-106.1
5.075	-190.1	-105.6
5.083	-195.1	-105.1
5.092	-200	-104.5
5.1	-204.8	-103.8
5.108	-209.1	-103.2
5.117	-213.3	-102.7
5.125	-217.3	-102.2
5.133	-221.7	-101.8
5.142	-225.3	-101.3
5.15	-229.2	-100.6
5.158	-232.5	-100.1
5.167	-236	-99.64
5.175	-239.3	-98.95
5.183	-242.3	-98.65
5.192	-244.9	-98.23
5.2	-247.7	-97.78
5.208	-250	-97.2
5.217	-252.5	-96.8
5.225	-254.5	-96.51
5.233	-256.2	-96.27
5.242	-258.2	-95.79
5.25	-259.5	-95.46
5.258	-260.6	-95.33
5.267	-261.8	-95.09
5.275	-262.9	-94.86
5.283	-263.5	-94.71
5.292	-264	-94.72
5.3	-264.2	-94.65
5.308	-264.5	-94.67
5.317	-264.5	-94.54
5.325	-264.4	-94.72
5.333	-263.8	-94.72
5.342	-263.3	-94.7
5.35	-262.6	-94.95
5.358	-261.5	-94.88
5.367	-260.2	-95.02
5.375	-259	-95.58
5.383	-257.5	-96.11
5.392	-255.8	-96.56
5.4	-253.8	-96.75
5.408	-251.6	-97.18
5.417	-249.4	-97.66
5.425	-247	-97.94
5.433	-244.2	-98.56
5.442	-241.3	-99.07
5.45	-238.4	-99.72
5.458	-235.4	-100.2
5.467	-231.9	-100.8
5.475	-228.4	-101.3
5.483	-224.7	-102
5.492	-221	-102.9
5.5	-216.9	-103.6
5.508	-212.7	-103.8
5.517	-208.3	-104.4
5.525	-203.7	-104.8
5.533	-199.1	-105.7
5.542	-194.4	-106.3
5.55	-189.5	-106.8
5.558	-184.5	-107.3
5.567	-179.3	-107.8
5.575	-174	-108.6
5.583	-168.9	-109.6
5.592	-163.2	-110.1
5.6	-157.5	-110.9
5.608	-151.5	-111.4
5.617	-145.7	-112.2
5.625	-139.8	-112.9
5.633	-133.6	-113.4
5.642	-127.5	-114.1
5.65	-121.2	-114.6
5.658	-114.6	-115.2
5.667	-108.3	-115.7
5.675	-101.9	-116.4
5.683	-95.2	-116.8
5.692	-88.67	-117.5
5.7	-81.73	-117.7
5.708	-74.63	-118.2
5.717	-67.85	-118.6
5.725	-60.82	-118.8
5.733	-53.91	-119.3
5.742	-46.89	-119.6
5.75	-39.73	-120.1
5.758	-32.62	-120.1
5.767	-25.51	-120.5
5.775	-18.4	-120.7
5.783	-11.47	-120.7
5.792	-4.087	-121.2
5.8	2.611	-121
5.808	9.812	-120.9
5.817	16.89	-120.7
5.825	23.85	-120.9
5.833	30.82	-120.8
5.842	37.85	-120.5
5.85	44.8	-120.6
5.858	51.8	-120.4
5.867	58.85	-120.1
5.875	65.56	-119.9
5.883	72.34	-119.7
5.892	79.18	-119.5
5.9	85.96	-118.8
5.908	92.45	-118.4
5.917	99.1	-117.9
5.925	105.8	-117.6
5.933	112.3	-117.5
5.942	118.3	-116.9
5.95	124.9	-116.4
5.958	131.2	-116.3
5.967	137.1	-115.8
5.975	143.3	-115.4
5.983	149.2	-114.8
5.992	155.2	-114.6
6	160.8	-113.8
6.008	166.5	-113.3
6.017	171.8	-112.5
6.025	176.9	-111.6
6.033	182	-111.5
6.042	187.1	-111.5
6.05	191.7	-110.7
6.058	196.6	-110.2
6.067	201	-109.6
6.075	205.6	-109.2
6.083	209.9	-108.6
6.092	214.2	-108.4
6.1	218	-107.9
6.108	222.1	-107.4
6.117	225.5	-106.7
6.125	229.4	-106
6.133	232.5	-105.6
6.142	236	-105.3
6.15	238.6	-104.8
6.158	241.5	-104.4
6.167	243.9	-103.5
6.175	246.4	-103.4
6.183	248.8	-103
6.192	250.5	-102.9
6.2	252.5	-102.7
6.208	254.3	-102.5
6.217	255.6	-102
6.225	257.4	-102.2
6.233	258.2	-102
6.242	259.3	-101.9
6.25	260.1	-101.9
6.258	260.9	-101.4
6.267	261.3	-101.7
6.275	261.5	-101.5
6.283	261.5	-101.5
6.292	261.2	-101.8
6.3	261.3	-102.2
6.308	260.4	-102
